playerID,yearID_x,stint,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,yearID_y,teamID,lgID,salary,BA,OBP
berkmla01,2001,1,156,577,110,191,55,5,34,126.0,7.0,9.0,92,121.0,5.0,13.0,0.0,6.0,8.0,1976.0,2.0,10.0,USA,TX,Waco,,,,,,,Lance,Berkman,William Lance,220.0,73.0,B,L,1999-07-16,2013-09-17,berkl001,berkmla01,2002,HOU,NL,500000,0.3310225303292894,0.4302325581395348
pujolal01,2001,1,161,590,112,194,47,4,37,130.0,1.0,3.0,69,93.0,6.0,9.0,1.0,7.0,21.0,1980.0,1.0,16.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Albert,Pujols,Jose Alberto,240.0,75.0,R,R,2001-04-02,2018-08-28,pujoa001,pujolal01,2002,SLN,NL,600000,0.3288135593220339,0.4029629629629629
giambje01,2001,1,124,371,64,105,26,0,12,57.0,0.0,1.0,63,83.0,1.0,4.0,3.0,2.0,13.0,1974.0,9.0,30.0,USA,CA,San Jose,,,,,,,Jeremy,Giambi,Jeremy Dean,185.0,72.0,L,L,1998-09-01,2003-08-01,giamj002,giambje01,2002,OAK,AL,1065000,0.2830188679245283,0.3909090909090909
mientdo01,2001,1,151,543,77,166,39,1,15,74.0,2.0,6.0,67,92.0,6.0,9.0,0.0,7.0,10.0,1974.0,6.0,19.0,USA,OH,Toledo,,,,,,,Doug,Mientkiewicz,Douglas Andrew,195.0,74.0,L,R,1998-09-18,2009-10-04,miend001,mientdo01,2002,MIN,AL,285000,0.3057090239410681,0.3865814696485623
pierrju01,2001,1,156,617,108,202,26,11,2,55.0,46.0,17.0,41,29.0,1.0,10.0,14.0,1.0,6.0,1977.0,8.0,14.0,USA,AL,Mobile,,,,,,,Juan,Pierre,Juan D'Vaughn,180.0,70.0,L,L,2000-08-07,2013-09-29,pierj002,pierrju01,2002,COL,NL,600000,0.3273905996758509,0.3781763826606876
millake01,2001,1,144,449,62,141,39,5,20,85.0,0.0,0.0,39,70.0,2.0,5.0,0.0,2.0,8.0,1971.0,9.0,24.0,USA,CA,Los Angeles,,,,,,,Kevin,Millar,Kevin Charles,195.0,73.0,R,R,1998-04-11,2009-10-03,millk005,millake01,2002,FLO,NL,900000,0.3140311804008908,0.3737373737373737
loducpa01,2001,1,125,460,71,147,28,0,25,90.0,2.0,4.0,39,30.0,2.0,6.0,5.0,9.0,11.0,1972.0,4.0,12.0,USA,NY,Brooklyn,,,,,,,Paul,Lo Duca,Paul Anthony,193.0,70.0,R,R,1998-06-21,2008-09-27,lodup001,loducpa01,2002,LAN,NL,546667,0.3195652173913043,0.3735408560311284
menecfr01,2001,1,139,471,82,114,22,2,12,60.0,2.0,3.0,79,97.0,0.0,19.0,3.0,6.0,13.0,1971.0,1.0,7.0,USA,NY,Staten Island,,,,,,,Frank,Menechino,Frank,175.0,69.0,R,R,1999-09-06,2005-10-02,menef001,menecfr01,2002,OAK,AL,295000,0.2420382165605095,0.368695652173913
henderi01,2001,1,123,379,70,86,17,3,8,42.0,25.0,7.0,81,84.0,0.0,3.0,0.0,2.0,8.0,1958.0,12.0,25.0,USA,IL,Chicago,,,,,,,Rickey,Henderson,Rickey Nelson Henley,180.0,70.0,R,L,1979-06-24,2003-09-19,hendr001,henderi01,2002,BOS,AL,350000,0.2269129287598944,0.3655913978494624
stairma01,2001,1,128,340,48,85,21,0,17,61.0,2.0,3.0,52,76.0,7.0,7.0,1.0,3.0,4.0,1968.0,2.0,27.0,CAN,NB,St. John,,,,,,,Matt,Stairs,Matthew Wade,200.0,69.0,L,R,1992-05-29,2011-07-22,staim001,stairma01,2002,MIL,NL,500000,0.25,0.3582089552238806
velarra01,4002,3,93,342,50,95,19,2,9,32.0,6.0,2.0,34,86.0,0.0,8.0,4.0,1.0,8.0,1962.0,11.0,24.0,USA,TX,Midland,,,,,,,Randy,Velarde,Randy Lee,185.0,72.0,R,R,1987-08-20,2002-09-29,velar001,velarra01,2002,OAK,AL,1000000,0.2777777777777778,0.3558441558441558
jimenda01,2001,1,86,308,45,85,19,0,3,33.0,2.0,3.0,39,68.0,4.0,0.0,0.0,2.0,9.0,1977.0,12.0,21.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,D'Angelo,Jimenez,D'Angelo,190.0,72.0,B,R,1999-09-15,2007-09-29,jimed001,jimend'01,2002,SDN,NL,240000,0.275974025974026,0.3553008595988539
eckstda01,2001,1,153,582,82,166,26,2,4,41.0,29.0,4.0,43,60.0,0.0,21.0,16.0,2.0,11.0,1975.0,1.0,20.0,USA,FL,Sanford,,,,,,,David,Eckstein,David Mark,170.0,66.0,R,R,2001-04-03,2010-10-03,ecksd001,eckstda01,2002,ANA,AL,280000,0.2852233676975945,0.3549382716049383
